Run,Processes,N,Seq_Time,Par_Time,Speedup
1,2,1,9.5367431640625E-07,0.17369985580444300,0.00000549035755953608
1,2,10,6.98566436767578E-05,0.07084274291992190,0.000986080448010338
1,2,100,0.00016999244689941400,0.07000184059143070,0.0024283996743969
1,2,1000,0.0014231204986572300,0.06953001022338870,0.0204677159414327
1,2,10000,0.0157620906829834,0.07977008819580080,0.197593998445813
1,2,100000,0.16109204292297400,0.1592400074005130,1.01163046619185
1,2,1000000,1.7093710899353000,1.0272200107574500,1.6640749518448800
1,2,10000000,18.9341242313385,10.327427864074700,1.83338237560616
2,2,1,1.19209289550781E-06,0.08531403541564940,0.0000139729985775487
2,2,10,3.29017639160156E-05,0.07220935821533200,0.000455644042949404
2,2,100,0.00015878677368164100,0.07074499130249020,0.00224449492124048
2,2,1000,0.0014421939849853500,0.07070422172546390,0.0203975653757313
2,2,10000,0.015427827835083000,0.0801999568939209,0.19236703400588
2,2,100000,0.16441988945007300,0.15784406661987300,1.04166024717316000
2,2,1000000,1.7662229537963900,0.9934749603271480,1.7778233215005000
2,2,10000000,19.618938207626300,10.249666213989300,1.914105083817200
3,2,1,1.9073486328125E-06,0.08506393432617190,0.0000224225301583031
3,2,10,4.07695770263672E-05,0.07143568992614750,0.000570717201282945
3,2,100,0.00016188621520996100,0.07153463363647460,0.00226304668075377
3,2,1000,0.0014641284942627000,0.0744929313659668,0.0196545963142432
3,2,10000,0.01620316505432130,0.08016514778137210,0.20212231253550300
3,2,100000,0.16199016571044900,0.15964603424072300,1.01468330535660000
3,2,1000000,1.7263240814209000,0.9869570732116700,1.7491379597729100
3,2,10000000,18.977181911468500,10.411743879318200,1.822670835110020
1,4,1,9.5367431640625E-07,0.10806083679199200,0.00000882534639484601
1,4,10,3.60012054443359E-05,0.07772183418273930,0.000463205813693099
1,4,100,0.0001621246337890630,0.07797098159790040,0.00207929450760472
1,4,1000,0.0014469623565673800,0.07744717597961430,0.0186832165055089
1,4,10000,0.015887737274169900,0.08472299575805660,0.187525678619067
1,4,100000,0.16127896308898900,0.12810206413269000,1.25898801226133000
1,4,1000000,1.7467210292816200,0.6125891208648680,2.8513745507193400
1,4,10000000,18.951814889907800,6.035370111465450,3.140124721415980
2,4,10,3.09944152832031E-05,0.07826423645019530,0.000396022713425779
2,4,100,0.00016379356384277300,0.07705903053283690,0.0021255596224115
2,4,1000,0.0014357566833496100,0.07905316352844240,0.0181619130628851
2,4,10000,0.016028881072998000,0.0850679874420166,0.188424359797197
2,4,100000,0.16109299659729000,0.12765288352966300,1.26196128236975000
2,4,1000000,1.7224419116973900,0.6076788902282720,2.8344606656491900
2,4,10000000,19.0297269821167,6.073554039001470,3.13321110834231
3,4,1,9.5367431640625E-07,0.11588811874389600,0.00000822926738947069
3,4,10,3.00407409667969E-05,0.08360671997070310,0.000359310124560844
3,4,100,0.000164031982421875,0.0800938606262207,0.00204799695181849
3,4,1000,0.001439809799194340,0.07867121696472170,0.0183016083231557
3,4,10000,0.015733957290649400,0.09474778175354000,0.166061484495509
3,4,100000,0.16616010665893600,0.12990832328796400,1.27905666437256000
3,4,1000000,1.7728538513183600,0.6223411560058590,2.8486848960727700
3,4,10000000,19.173349142074600,6.252732038497930,3.066395461060020
